,SUD_CD,TOT_FLPOP_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_STOR_CO,CLSBIZ_STOR_CO,YEAR_3_OPBIZ_STOR_CO,YEAR_3_BEING_CO,MT_AVRG_INCOME_AMT,CNVRSN_RNTCHRG,TOT_REPOP_CO,VIATR_FCLTY_CO,THSMON_SELNG_AMT,THSMON_SELNG_CO
0,1123000054,43632.0,2.5,0.75,0.0,0.0,0.0,2013811.0,205489.54545454544,239.75,2,68201549.0,11236.0
1,1123000380,40878.5,1.0,0.0,0.0,0.0,0.0,1545647.0,71783.41666666667,21.0,1,35467810.0,7427.5
2,1123000311,8722.75,1.0,0.3333333333333333,0.0,0.0,0.0,1898618.0,46785.0,294.75,2,98837762.33333333,18237.333333333332
3,1123000029,54342.75,1.0,0.0,0.0,0.0,0.0,1533175.0,45895.0,46.75,5,44537889.0,6930.0
4,1123000167,40120.75,1.0,1.0,0.0,0.0,0.0,2028223.0,109758.91666666667,31.0,2,14128279.0,672.0
5,1123000313,70876.5,3.5,0.25,0.25,1.5,0.75,2235756.0,104857.91666666667,142.5,8,12000000.0,1627.0
6,1123000247,32476.75,1.5,0.0,0.25,0.0,0.0,2757962.0,45725.142857142855,282.0,4,45000000.0,11009.75
7,1123000142,137552.0,3.25,0.25,0.25,0.0,0.0,1931366.0,117126.25,108.0,3,223856475.25,28290.0
8,1123000933,32629.5,2.5,0.25,0.0,0.0,0.0,3111982.0,117074.0,25.75,2,206759011.75,30674.5
9,1123000934,53762.75,2.0,0.0,0.0,0.75,0.5,2657780.0,148594.25,148.5,1,66000000.0,12528.5
10,1123000654,29760.25,1.0,0.0,0.25,0.25,0.0,2715338.0,57165.333333333336,214.25,1,83037034.0,25970.0
11,1123000935,50839.25,3.0,0.25,0.25,1.0,1.0,1948949.0,172718.0,118.0,2,234912532.25,52255.5
12,1123000975,27415.25,1.0,0.0,0.0,0.75,0.75,2252480.0,163024.66666666666,76.0,2,17368697.0,1591.75
13,1123001011,65055.75,4.0,0.0,0.0,0.75,0.75,3615362.0,128427.81818181818,114.75,1,373501178.5,51293.75
14,1123000605,32845.5,1.0,0.0,0.0,0.0,0.0,2217262.0,28417.0,42.0,1,3612718.6666666665,955.3333333333334
15,1123000903,34854.5,1.5,0.25,0.0,0.75,0.75,1759547.0,109276.6,94.0,1,96432788.25,25665.25
16,1123000942,43702.25,2.0,0.25,0.25,1.0,1.0,1844644.0,95445.66666666667,15.5,2,67218271.0,15380.333333333334
17,1123000945,25942.25,2.75,0.25,0.0,0.75,0.75,5574830.0,175931.9,2.75,2,45940267.666666664,5472.0
18,1123000720,26161.25,1.0,0.0,0.0,1.0,0.0,3523978.0,145327.0,25.5,4,40788822.0,7326.5
21,1123001022,39002.75,4.0,0.0,0.0,1.0,0.75,5124169.0,106437.0,37.0,15,42462682.25,8809.5
22,1123000571,33440.5,2.0,0.0,0.0,1.25,0.75,2436471.0,59489.0,32.25,4,84211339.25,8340.0
23,1123000626,32286.75,2.75,0.5,0.5,1.0,0.0,2982609.0,79510.91666666667,25.5,3,88328948.25,12761.75
24,1123000675,30074.75,1.0,0.0,0.0,0.5,0.0,4399466.0,55830.11111111111,23.0,12,18000000.0,4362.75
