SUD_CD,YEAR_3_BEING_CO,YEAR_3_OPBIZ_STOR_CO,RELM_AR,THSMON_SELNG_AMT,YEAR_3_BEING_RT,SIMILR_INDUTY_STOR_CO,VIATR_FCLTY_CO,TOT_STOR_CO_90,OPBIZ_STOR_CO,CLSBIZ_STOR_CO,FRC_STOR_CO
1123000029,0,0,7199.089302,78986666,0.0,1,5,2,1,1,1
1123000054,0,0,15357.96765,54935139,0.0,3,2,5,1,0,1
1123000142,0,0,5931.984527,64949213,0.0,3,3,4,1,0,3
1123000167,0,0,4511.132101,14128279,0.0,1,2,3,1,0,0
1123000188,0,1,10463.6083,12214829,0.0,1,3,5,1,1,0
1123000228,0,0,9404.499198,256400786,0.0,1,5,3,1,1,1
1123000247,0,0,6884.198959,244338,0.0,2,4,4,2,1,1
1123000311,0,0,12826.36216,60019443,0.0,1,2,1,1,0,0
1123000313,0,1,12629.62189,4290281,0.0,3,8,5,1,1,1
1123000380,0,0,4071.006954,11743413,0.0,1,1,4,1,0,1
1123000498,0,0,6570.055357,51482,0.0,1,1,1,0,0,0
1123000524,1,1,3560.153977,58558777,100.0,1,2,2,0,0,1
1123000528,0,1,1943.835522,511147,0.0,1,1,5,1,1,0
1123000533,0,1,6303.820369,74839700,0.0,1,1,2,0,0,0
1123000551,0,0,10360.03487,2624327,0.0,1,1,2,0,0,0
1123000553,0,0,2315.444337,11955257,0.0,1,1,2,0,0,1
1123000571,0,0,1716.470341,31729295,0.0,1,4,2,1,1,0
1123000583,1,1,6558.037222,68316030,100.0,2,2,2,0,0,1
1123000605,0,0,4346.218415,5086893,0.0,1,1,2,1,1,0
1123000608,0,0,2625.839045,6626125,0.0,3,1,6,1,0,0
1123000622,0,0,8139.284158,4468496,0.0,1,6,3,0,0,0
1123000626,0,1,3635.860472,37733791,0.0,3,3,9,1,0,1
1123000632,0,0,3291.449789,50222790,0.0,2,1,3,0,0,1
1123000638,0,0,4376.379795,5214870,0.0,2,1,4,0,1,0
