SUD_CD,COAR_CD
1123000448 ,1106081040005 
1123000449 ,1106081040002 
1123000455 ,1106081040002 
1123000456 ,1106081040002 
1123000457 ,1106081040005 
1123000477 ,1106081040002 
1123000479 ,1106081040002 
1123000481 ,1106081040002 
1123000482 ,1106081040006 
1123000483 ,1106081040005 
1123000486 ,1106081040006 
1123000440 ,1106081040002 
1123000487 ,1106081040006 
1123000488 ,1106081040001 
1123000490 ,1106081040006 
1123000492 ,1106081040001 
1123000495 ,1106081040201 
1123000497 ,1106081040002 
1123000498 ,1106081040002 
1123000441 ,1106081040002 
1123000442 ,1106081040005 
1123000443 ,1106081040006 
1123000444 ,1106081040006 
1123000445 ,1106081040005 
1123000446 ,1106081040002 
1123000432 ,1106081040801 
1123000433 ,1106081040002 
1123000435 ,1106081040002 
1123000436 ,1106081040801 
1123000437 ,1106081040801 
1123000468 ,1106081040005 
1123000470 ,1106081040001 
1123000473 ,1106081040005 
1123000474 ,1106081040002 
1123000475 ,1106081040001 
1123000476 ,1106081040002 
1123000499 ,1106081040006 
1123000501 ,1106081040006 
1123000508 ,1106081040001 
1123000431 ,1106081040002 
1123000458 ,1106081040002 
1123000459 ,1106081040002 
1123000461 ,1106081040005 
1123000464 ,1106081040005 
1123000465 ,1106081040005 
1123000466 ,1106081040002 
1123000467 ,1106081040005 
1123000557 ,1106081030002 
1123000558 ,1106081030003 
1123000560 ,1106081030010 
1123000509 ,1106081040001 
1123000518 ,1106081040006 
1123000520 ,1106081040006 
1123000521 ,1106081040006 
1123000522 ,1106081040006 
1123000578 ,1106081030010 
1123000579 ,1106081030010 
1123000523 ,1106081040006 
1123000524 ,1106081040006 
1123000525 ,1106081040006 
1123000526 ,1106081040006 
1123000581 ,1106081030005 
1123000548 ,1106081030002 
1123000549 ,1106081030003 
1123000551 ,1106081040001 
1123000547 ,1106081030002 
1123000787 ,1106081020004 
1123000788 ,1106081020008 
1123000791 ,1106081020005 
1123000818 ,1106081020002 
1123000819 ,1106081020001 
1123000822 ,1106081020008 
1123000825 ,1106081020002 
1123000826 ,1106081020002 
1123000793 ,1106081020004 
1123000794 ,1106081020005 
1123000795 ,1106081020005 
1123000796 ,1106081020005 
1123000798 ,1106081020008 
1123000799 ,1106081020004 
1123000828 ,1106081020002 
1123000829 ,1106081020002 
1123000830 ,1106081020001 
1123000831 ,1106081020002 
1123000834 ,1106081020001 
1123000835 ,1106081020002 
1123000836 ,1106081020002 
1123000837 ,1106081020001 
1123000802 ,1106081020008 
1123000807 ,1106081020008 
1123000808 ,1106081020008 
1123000839 ,1106081020002 
1123000840 ,1106081020002 
1123000842 ,1106081020001 
1123000843 ,1106081020002 
1123000844 ,1106081020001 
1123000845 ,1106081020001 
1123000846 ,1106081020002 
1123000847 ,1106081020001 
1123000848 ,1106081020001 
1123000774 ,1106081020005 
1123000809 ,1106081020008 
1123000779 ,1106081020008 
1123000780 ,1106081020005 
1123000781 ,1106081020008 
1123000812 ,1106081020008 
1123000814 ,1106081020008 
1123000849 ,1106081020001 
1123000850 ,1106081020001 
1123000782 ,1106081020005 
1123000785 ,1106081020008 
1123002379 ,1106082020020 
1129000762 ,1108061010009 
1129001763 ,1108060010022 
1129001764 ,1108060010022 
1129001765 ,1108060010011 
1129001766 ,1108060010022 
